,customerid,surname,balance,numofproducts,hascrcard,tenure,isactivemember,exited,creditscore,geography,gender,age,estimatedsalary,age_group,estimatedsalary_group,saving,saving_group,creditscore_group,numofproducts_scale,age_scale,creditscore_scale,estimatedsalary_scale,balance_scale,gender_scale,geography_germany,geography_spain,saving_group_below 50k,saving_group_50k - 100k,saving_group_100k - 150k,saving_group_150k - 200k,saving_group_above 200k,creditscore_group_650 - 700,creditscore_group_above 700,age_group_21-23,age_group_24-31,age_group_32-44,age_group_45-60,age_group_above 60,salary_group_5k - 10k,salary_group_10k - 20k,salary_group_20k - 50k,salary_group_50k - 100k,salary_group_100k - 150k,salary_group_150k - 200k,numofproducts_2,numofproducts_3,numofproducts_4,no_churn_proba,churn_proba,predicted
0,15634602,Hargrave,0.0,1,1,2,1,1,619,france,female,42,101348.88,32-44,100k - 150k,0,no saving,below 650,0.0,0.3243243243243243,0.5379999999999999,0.5067348931822989,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.71347,0.28653005,0
2,15647311,Hill,83807.86,1,1,1,1,0,608,spain,female,41,112542.58,32-44,100k - 150k,1,50k - 100k,below 650,0.0,0.3108108108108108,0.5159999999999999,0.5627087386845444,0.334031478677259,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.81316835,0.18683167,0
3,15619304,Onio,159660.8,3,0,8,0,1,502,france,female,42,113931.57,32-44,100k - 150k,1,150k - 200k,below 650,0.6666666666666667,0.3243243243243243,0.30399999999999994,0.5696543519906151,0.6363571759354565,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.14177167,0.8582283,1
4,15701354,Boni,0.0,2,0,1,0,0,699,france,female,39,93826.63,32-44,50k - 100k,0,no saving,650 - 700,0.3333333333333333,0.2837837837837838,0.6980000000000001,0.46912005096486714,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.9465012,0.053498793,0
5,15737888,Mitchell,125510.82,1,1,2,1,0,850,spain,female,43,79084.1,32-44,50k - 100k,1,100k - 150k,above 700,0.0,0.3378378378378379,0.9999999999999999,0.3954003607344502,0.5002462155052676,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.8987216,0.10127844,0
6,15574012,Chu,113755.78,2,0,8,0,1,645,spain,male,44,149756.71,32-44,100k - 150k,1,100k - 150k,below 650,0.3333333333333333,0.35135135135135137,0.59,0.7487971601287922,0.45339436422174445,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.9190586,0.08094136,0
7,15592531,Bartlett,0.0,2,1,7,1,0,822,france,male,50,10062.8,45-60,10k - 20k,0,no saving,above 700,0.3333333333333333,0.4324324324324324,0.9440000000000001,0.050260899915941966,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.954171,0.045829017,0
8,15656148,Obinna,115046.74,4,0,4,0,1,376,germany,female,29,119346.88,24-31,100k - 150k,1,100k - 150k,below 650,1.0,0.14864864864864863,0.051999999999999935,0.5967334880481086,0.4585397202505608,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.13251257,0.86748743,1
9,15792365,He,142051.07,2,1,4,1,0,501,france,male,44,74940.5,32-44,50k - 100k,1,100k - 150k,below 650,0.3333333333333333,0.35135135135135137,0.30199999999999994,0.37468038197647874,0.5661703921301275,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.93955255,0.060447473,0
10,15592389,H?,134603.88,1,1,2,1,0,684,france,male,27,71725.73,24-31,50k - 100k,1,100k - 150k,650 - 700,0.0,0.12162162162162166,0.668,0.3586049967771922,0.5364882610306042,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.9540999,0.045900136,0
